@RELATION LeagueofLegends

@ATTRIBUTE gamelength numeric
@ATTRIBUTE gold numeric
@ATTRIBUTE kills numeric
@ATTRIBUTE inhibitors numeric
@ATTRIBUTE towers numeric
@ATTRIBUTE dragons numeric
@ATTRIBUTE barons numeric
@ATTRIBUTE heralds numeric
@ATTRIBUTE class {'yes','no'}
@data
54,90523,23,11,7,7,2,0,yes
54,89194,21,3,0,0,0,0,no
47,70262,12,6,0,3,0,0,no
47,84614,26,9,2,3,2,0,yes
33,45053,9,3,0,1,0,0,no
33,57521,20,11,3,2,1,0,yes
30,52046,14,10,2,3,0,0,yes
30,37952,5,0,0,0,0,0,no
34,45062,3,3,0,2,0,0,no
34,58887,10,10,2,2,1,0,yes
49,77749,18,8,1,1,1,0,yes
49,77584,11,8,2,4,2,0,no
29,53344,13,10,1,3,1,0,yes
29,39069,3,0,0,0,0,0,no
33,62572,20,10,1,3,2,0,yes
33,44803,6,2,0,1,0,0,no
29,54095,15,11,2,3,1,0,yes
29,34867,3,0,0,1,0,0,no
33,57140,15,11,3,3,2,0,yes
33,40838,3,2,0,0,0,0,no
30,54032,16,11,2,4,1,0,yes
30,36728,2,1,0,0,0,0,no
42,69240,21,8,1,3,0,0,yes
42,63856,11,4,0,1,0,0,no
55,86466,15,8,1,4,1,0,no
55,94673,22,9,1,3,2,0,yes
38,66716,19,10,2,2,1,0,yes
38,51153,5,3,0,2,0,0,no
51,76901,20,9,1,3,1,0,yes
51,74757,10,6,1,3,1,0,no
36,47505,4,2,0,2,0,0,no
36,62019,11,11,4,3,1,0,yes
46,74619,20,7,1,2,2,0,no
46,76310,20,9,1,3,0,0,yes
40,70930,19,8,1,2,1,0,yes
40,61661,3,7,2,3,1,0,no
46,68445,8,3,0,1,1,0,no
46,72165,15,8,1,5,1,0,yes
46,75833,17,11,3,4,1,0,yes
46,67409,11,4,0,1,0,0,no
37,65400,17,9,2,4,1,0,yes
37,51231,7,2,0,1,0,0,no
29,38525,3,1,0,0,0,0,no
29,59345,21,11,3,3,1,0,yes
45,79626,20,11,4,5,1,0,yes
45,61157,7,3,0,1,0,0,no
31,54312,11,11,4,3,1,0,yes
31,39325,4,1,0,1,0,0,no
31,42988,9,3,0,0,0,0,no
31,56576,21,8,1,4,1,0,yes
33,43575,3,2,0,1,0,0,no
33,63295,20,10,1,3,2,0,yes
37,56988,10,4,0,0,0,0,no
37,60687,16,9,1,4,2,0,yes
38,60462,13,8,1,2,1,0,yes
38,57049,11,6,0,2,1,0,no
45,66491,13,4,0,0,0,0,no
45,74064,20,10,2,5,2,0,yes
40,53798,3,2,0,2,0,0,no
40,66831,13,11,4,3,2,0,yes
42,69962,14,10,2,4,2,0,yes
42,59953,5,5,0,2,0,0,no
47,78445,22,8,1,2,1,0,yes
47,77004,18,7,2,4,1,0,no
42,70800,16,9,1,4,2,0,yes
42,59405,15,4,0,1,0,0,no
37,49661,7,1,0,1,0,0,no
37,62884,21,10,3,3,2,0,yes
45,68054,12,6,0,2,0,0,no
45,72378,17,8,1,3,1,0,yes
34,48363,10,4,0,1,0,0,no
34,52969,19,8,1,3,0,0,yes
36,58907,22,8,1,3,1,0,yes
36,49124,8,2,0,1,0,0,no
36,45818,5,2,0,2,0,0,no
36,61640,14,9,2,2,2,0,yes
42,58726,5,3,0,1,0,0,no
42,70785,16,9,1,4,2,0,yes
35,61124,20,11,3,3,1,0,yes
35,48947,5,4,0,1,0,0,no
40,66977,14,9,1,2,1,0,yes
40,60101,6,4,0,2,1,0,no
33,43546,6,1,0,0,0,0,no
33,58919,21,9,1,4,1,0,yes
34,59791,21,10,2,5,1,0,yes
34,46877,4,3,0,0,0,0,no
34,48411,10,2,0,1,0,0,no
34,60191,20,11,3,4,1,0,yes
46,70481,16,4,0,3,1,0,no
46,74273,23,8,1,3,0,0,yes
28,46116,12,8,1,1,1,0,yes
28,39333,6,3,0,2,0,0,no
46,68832,15,8,2,0,1,0,yes
46,68013,10,7,0,5,0,0,no
44,64269,10,3,0,1,0,0,no
44,78803,23,11,3,4,3,0,yes
33,54243,16,10,3,2,1,0,yes
33,40338,3,0,0,1,0,0,no
34,45248,8,2,0,1,0,0,no
34,67214,22,9,1,3,2,0,yes
43,70098,21,6,1,0,1,0,no
43,69518,22,7,1,4,0,0,yes
42,71678,22,11,2,2,2,0,yes
42,64724,15,5,0,2,0,0,no
35,62474,16,11,4,4,2,0,yes
35,46405,4,0,0,0,0,0,no
40,63590,14,6,0,3,0,0,no
40,71653,29,10,2,1,1,0,yes
35,57180,18,8,1,4,1,0,yes
35,48717,10,2,0,0,0,0,no
43,61862,11,4,0,3,0,0,no
43,69349,16,10,2,2,1,0,yes
33,40085,5,1,0,0,0,0,no
33,60841,22,9,1,3,2,0,yes
36,49187,6,3,0,1,0,0,no
36,63435,16,8,1,3,1,0,yes
43,69784,17,11,3,4,2,0,yes
43,58147,8,4,0,1,0,0,no
38,49954,5,4,0,0,0,0,no
38,67490,22,9,1,4,2,0,yes
50,82342,18,11,3,2,2,0,yes
50,73194,5,6,0,3,1,0,no
37,51782,8,3,0,2,0,0,no
37,63010,15,9,1,3,2,0,yes
33,45330,3,2,0,1,0,0,no
33,58129,14,10,2,3,1,0,yes
40,59140,7,6,0,0,1,0,no
40,69628,17,10,1,4,1,0,yes
48,71797,15,4,0,3,0,0,no
48,74988,16,10,6,3,3,0,yes
44,61049,11,3,0,1,0,0,no
44,74963,24,10,3,4,2,0,yes
39,56144,11,4,0,3,0,0,no
39,61958,14,8,1,2,2,0,yes
44,71937,16,7,1,2,0,0,no
44,68237,14,7,1,2,2,0,yes
40,67917,23,10,3,2,1,0,yes
40,57444,8,4,0,3,1,0,no
30,51684,18,11,3,3,1,0,yes
30,38273,0,0,0,1,0,0,no
31,42916,9,2,0,0,0,0,no
31,57981,23,9,2,3,1,0,yes
31,52569,21,9,2,1,0,0,yes
31,46296,9,4,0,2,0,0,no
48,84515,26,10,2,4,2,0,yes
48,69261,14,3,0,1,0,0,no
36,51453,10,4,0,1,0,0,no
36,59632,12,8,1,2,1,0,yes
36,49242,4,4,0,0,0,0,no
36,60551,17,8,1,4,1,0,yes
49,83451,19,10,3,3,3,0,yes
49,74255,15,7,0,4,0,0,no
40,65734,21,8,1,3,1,0,yes
40,64745,9,6,0,1,1,0,no
39,55990,13,5,0,4,0,0,no
39,66616,24,8,1,0,1,0,yes
42,61913,10,4,0,4,1,0,no
42,64406,13,8,1,1,0,0,yes
34,55855,23,8,1,4,1,0,yes
34,46905,7,4,0,0,0,0,no
36,53106,11,10,3,5,0,0,yes
36,49094,3,3,0,0,0,0,no
51,82428,24,11,3,4,2,0,yes
51,76518,19,6,1,2,0,0,no
48,76042,19,6,1,2,1,0,no
48,81255,26,11,3,4,1,0,yes
48,82070,24,11,3,3,2,0,yes
48,73940,17,3,0,2,0,0,no
36,55234,18,5,0,0,0,0,no
36,62397,23,8,2,5,1,0,yes
54,82216,14,9,3,1,2,0,no
54,86904,20,10,3,4,1,0,yes
44,70343,20,5,0,3,1,0,no
44,66931,19,7,1,3,0,0,yes
37,61904,20,9,2,2,2,0,yes
37,53090,6,2,0,1,0,0,no
41,68062,14,10,3,1,2,0,yes
41,58928,10,3,0,4,0,0,no
38,64046,20,8,1,4,1,0,yes
38,53775,8,3,0,0,0,0,no
30,49869,17,8,1,3,1,0,yes
30,40891,6,2,0,0,0,0,no
49,76718,12,11,4,3,1,0,yes
49,70484,9,3,0,3,0,0,no
29,51600,24,9,1,2,1,0,yes
29,39322,3,4,0,2,0,0,no
39,66179,19,11,3,2,1,0,yes
39,55420,9,3,0,2,0,0,no
36,57735,16,9,2,2,1,0,yes
36,54914,10,3,0,1,1,0,no
49,82259,24,7,2,1,2,0,yes
49,76730,18,9,2,5,1,0,no
32,59733,15,9,1,2,1,0,yes
32,42484,3,1,0,1,0,0,no
55,77358,11,3,0,4,0,0,no
55,89012,20,10,5,3,2,0,yes
42,65164,13,6,1,3,0,0,no
42,70763,25,10,3,2,2,0,yes
28,39904,3,3,0,1,0,0,no
28,48307,14,7,1,2,1,0,yes
38,61087,16,8,1,3,1,0,yes
38,51373,2,2,0,1,0,0,no
43,72309,25,11,5,2,1,0,yes
43,68900,16,5,0,3,1,0,no
40,58039,12,9,2,4,0,0,no
40,66769,14,8,1,1,2,0,yes
41,56243,3,1,0,0,0,0,no
41,70038,8,11,3,5,2,0,yes
29,38237,2,0,0,0,0,0,no
29,51197,10,7,1,3,1,0,yes
40,64609,15,11,3,3,1,0,yes
40,57277,7,4,0,2,0,0,no
43,79464,19,11,4,3,2,0,yes
43,62037,9,1,0,1,0,0,no
29,37925,1,2,0,1,0,0,no
29,52864,15,10,2,3,1,0,yes
40,69685,19,11,4,4,2,0,yes
40,59396,11,3,0,1,0,0,no
40,61957,13,9,1,5,2,0,yes
40,54565,6,3,0,0,0,0,no
34,63642,24,10,1,3,1,0,yes
34,45608,9,1,0,1,0,0,no
39,49890,5,2,0,1,0,0,no
39,67174,15,8,1,4,1,0,yes
25,44914,18,9,2,1,1,0,yes
25,30762,1,1,0,0,0,0,no
45,64706,12,5,1,2,0,0,no
45,72848,16,8,1,4,2,0,yes
40,65538,17,7,1,4,0,0,yes
40,61945,7,6,0,0,1,0,no
41,72950,21,11,3,2,1,0,yes
41,63709,17,4,0,3,1,0,no
29,54485,20,9,1,2,1,0,yes
29,40112,10,1,0,0,0,0,no
40,67250,13,10,2,2,1,0,yes
40,59119,4,6,0,3,0,0,no
38,58211,8,7,1,4,1,0,yes
38,51905,5,3,0,1,0,0,no
57,84312,14,8,2,4,2,0,no
57,90080,26,9,3,4,1,0,yes
52,76272,12,8,3,2,0,0,no
52,84286,26,10,5,4,2,0,yes
27,49496,17,11,3,3,1,0,yes
27,34210,1,1,0,0,0,0,no
51,84997,21,6,0,2,2,0,no
51,81065,22,9,2,4,1,0,yes
36,44836,1,2,0,1,0,0,no
36,55379,10,11,3,2,2,0,yes
37,58277,16,4,0,1,0,0,no
37,66597,23,8,1,3,2,0,yes
49,74492,13,5,0,3,1,0,no
49,77989,16,10,2,3,2,0,yes
42,59068,6,4,0,2,0,0,no
42,68011,12,8,1,3,1,0,yes
30,38515,9,1,0,0,0,0,no
30,53568,20,11,3,3,1,0,yes
35,50572,8,4,0,2,0,0,no
35,65398,22,9,1,2,2,0,yes
58,87547,8,7,2,4,2,0,no
58,88430,11,11,4,4,1,0,yes
38,64366,22,9,1,4,1,0,yes
38,56482,9,5,0,1,0,0,no
32,45469,7,3,0,1,0,0,no
32,57879,21,9,1,2,2,0,yes
28,49417,21,8,1,3,1,0,yes
28,36006,6,3,0,1,0,0,no
32,46435,5,3,0,2,0,0,no
32,56344,14,9,1,2,1,0,yes
33,43827,6,2,0,1,0,0,no
33,61350,21,9,1,3,2,0,yes
60,91259,26,11,7,4,2,0,yes
60,103209,27,7,1,4,2,0,no
33,45511,2,3,0,0,0,0,no
33,55843,13,10,2,3,1,0,yes
29,54459,23,9,2,2,1,0,yes
29,41152,8,3,0,1,0,0,no
36,62375,20,10,2,2,1,0,yes
36,55244,10,5,0,2,0,0,no
40,61045,12,6,0,1,0,0,no
40,67903,25,10,2,3,1,0,yes
35,59739,22,10,2,1,1,0,yes
35,52835,11,4,0,3,0,0,no
33,44686,4,3,0,0,0,0,no
33,58131,22,10,3,3,1,0,yes
26,50527,22,9,1,1,1,0,yes
26,35794,4,3,0,2,0,0,no
43,74902,20,10,2,4,2,0,yes
43,66503,9,5,0,2,0,0,no
32,47790,5,4,0,1,0,0,no
32,56505,13,9,1,3,1,0,yes
26,37363,8,2,0,1,0,0,no
26,52401,29,11,2,1,1,0,yes
41,62495,7,5,0,0,0,0,no
41,65895,20,10,2,5,1,0,yes
33,60542,21,9,1,3,1,0,yes
33,47104,9,1,0,1,0,0,no
39,70224,12,10,4,3,3,0,yes
39,55346,8,3,0,1,0,0,no
42,59369,8,4,0,3,0,0,no
42,67274,12,9,1,2,2,0,yes
32,57727,18,8,1,3,1,0,yes
32,41819,7,2,0,1,0,0,no
39,54599,4,4,0,0,0,0,no
39,62283,10,11,2,6,1,0,yes
42,58567,9,2,0,1,0,0,no
42,70070,18,10,2,4,1,0,yes
30,40653,9,1,0,0,0,0,no
30,54312,20,8,2,3,2,0,yes
30,40702,7,1,0,1,0,0,no
30,55475,22,10,2,3,1,0,yes
38,64528,18,10,3,5,1,0,yes
38,55838,8,2,0,0,0,0,no
42,65078,17,8,2,2,1,0,yes
42,60374,6,5,0,2,0,0,no
41,58010,7,2,0,1,1,0,no
41,73587,21,9,1,3,1,0,yes
30,52776,17,9,1,2,1,0,yes
30,41826,7,1,0,1,0,0,no
37,53449,3,3,0,2,0,0,no
37,66772,15,9,2,3,2,0,yes
34,47287,4,5,0,3,0,0,no
34,51638,11,9,1,2,1,0,yes
43,60092,7,6,0,1,1,0,no
43,69228,17,10,2,4,1,0,yes
35,61839,20,9,1,4,2,0,yes
35,47550,4,5,1,0,0,0,no
33,47200,7,3,0,1,0,0,no
33,57702,14,11,3,3,1,0,yes
41,65624,10,8,2,2,0,0,yes
41,63864,10,4,0,2,1,0,no
38,53994,9,2,0,1,0,0,no
38,63563,16,10,3,3,2,0,yes
38,65742,15,8,2,4,1,0,yes
38,56237,10,2,0,0,0,0,no
40,56249,5,3,0,2,1,0,no
40,62935,8,10,2,3,1,0,yes
47,76885,19,11,3,4,1,0,yes
47,69673,2,5,0,1,1,0,no
32,56427,18,11,4,2,1,0,yes
32,40899,4,2,0,1,0,0,no
30,40969,2,4,0,2,0,0,no
30,51526,14,9,1,1,1,0,yes
44,74402,17,10,2,2,1,0,yes
44,67254,14,4,0,3,1,0,no
40,58650,12,3,0,4,0,0,no
40,65957,13,9,2,1,1,0,yes
28,48824,21,11,3,2,1,0,yes
28,39483,10,3,0,1,0,0,no
54,77435,11,5,0,2,0,0,no
54,85315,19,11,4,3,2,0,yes
56,89033,15,10,2,3,2,0,yes
56,82133,11,6,0,4,0,0,no
44,70867,20,11,2,4,1,0,yes
44,63282,12,4,0,1,0,0,no
38,63801,13,10,3,3,2,0,yes
38,51219,4,1,0,0,0,0,no
41,60583,8,8,1,1,1,0,yes
41,61941,5,4,0,3,0,0,no
38,65831,19,11,2,3,1,0,yes
38,55467,6,4,0,0,0,0,no
33,51415,5,9,2,0,1,0,yes
33,44254,1,1,0,3,0,0,no
37,56315,14,3,0,3,0,0,no
37,62252,23,7,1,1,1,0,yes
40,66758,17,11,3,3,1,0,yes
40,53239,3,3,0,1,0,0,no
32,47545,15,3,0,2,0,0,no
32,60925,27,9,1,2,1,0,yes
35,60694,25,8,1,3,2,0,yes
35,47542,9,3,0,0,0,0,no
35,53620,7,6,0,0,0,0,no
35,57121,17,9,1,3,1,0,yes
41,59680,7,5,0,1,0,0,no
41,68718,19,9,1,2,2,0,yes
34,58564,16,8,1,2,1,0,yes
34,49605,12,3,0,1,0,0,no
37,61485,15,8,1,2,1,0,yes
37,56242,4,5,0,0,0,0,no
31,57183,21,10,2,3,1,0,yes
31,40762,2,3,0,0,0,0,no
34,59440,16,11,3,3,0,0,yes
34,49671,4,2,0,0,1,0,no
34,47705,7,3,0,2,0,0,no
34,61145,27,10,1,1,1,0,yes
29,45360,17,2,0,1,0,0,no
29,53695,25,9,1,1,1,0,yes
36,65286,25,10,2,2,2,0,yes
36,54030,13,5,0,1,0,0,no
39,57520,9,7,1,4,0,0,no
39,62716,14,7,1,0,1,0,yes
32,46313,2,4,0,1,0,0,no
32,54840,12,10,1,1,1,0,yes
29,41965,5,3,0,0,0,0,no
29,53893,19,10,2,2,1,0,yes
58,81562,9,6,0,2,0,0,no
58,95250,19,9,2,5,3,0,yes
42,72884,19,11,3,3,2,0,yes
42,65151,12,4,0,1,1,0,no
45,76987,13,5,0,0,0,0,no
45,87390,22,10,1,5,2,2,yes
28,38782,7,2,0,1,0,0,no
28,55713,17,10,2,1,1,0,yes
41,65849,16,4,0,1,0,1,no
41,74982,16,11,5,4,2,0,yes
62,113742,18,10,5,4,4,1,yes
62,99071,12,6,1,3,0,1,no
37,62796,14,9,3,2,1,0,yes
37,52319,6,2,0,3,0,0,no
36,56090,6,3,0,0,0,1,no
36,65424,16,11,1,3,1,0,yes
32,60468,21,9,1,2,1,1,yes
32,51660,6,5,0,1,0,0,no
44,75553,12,7,1,3,0,2,yes
44,76106,17,7,1,2,1,0,no
29,42745,4,2,0,0,0,0,no
29,57342,17,10,2,2,1,2,yes
19,39455,16,11,3,1,0,1,yes
19,24625,0,0,0,0,0,0,no
36,66631,15,9,1,3,1,0,yes
36,56961,5,3,0,0,0,0,no
39,67103,13,6,0,1,0,1,no
39,71715,18,10,3,2,1,0,yes
32,48740,7,2,0,0,0,1,no
32,58355,15,11,3,3,1,1,yes
48,82202,14,9,1,1,1,0,yes
48,78896,5,6,0,4,1,1,no
29,54862,15,10,2,2,0,1,yes
29,40621,2,1,0,1,0,0,no
34,51950,5,4,0,1,0,1,no
34,62399,16,9,2,2,2,1,yes
33,48745,8,1,0,0,0,0,no
33,60214,14,10,1,2,1,0,yes
49,80671,14,9,5,4,1,1,no
49,82013,10,8,1,2,2,1,yes
42,70421,13,5,0,1,1,1,no
42,76567,17,11,3,4,0,0,yes
27,46508,12,7,1,1,1,0,yes
27,48171,7,7,1,1,0,0,no
29,48223,5,7,2,1,1,1,no
29,51456,13,10,2,1,0,0,yes
35,67551,20,9,1,2,1,2,yes
35,52123,7,1,0,1,0,0,no
33,59894,7,10,2,3,1,1,yes
33,46419,2,2,0,0,0,0,no
30,57863,16,10,2,2,0,2,yes
30,44279,5,3,0,0,0,0,no
31,57904,13,8,1,1,1,0,yes
31,51681,15,5,0,1,0,1,no
32,56651,19,9,1,1,1,0,yes
32,47028,0,3,0,2,0,0,no
31,48630,9,3,0,1,0,0,no
31,56051,9,7,1,2,1,0,yes
20,25815,1,1,0,0,0,0,no
20,40422,13,8,1,1,0,2,yes
42,76645,14,9,1,3,1,0,yes
42,63323,4,2,0,0,0,1,no
31,59725,18,11,2,4,1,2,yes
31,43284,1,2,0,0,0,0,no
20,38927,13,9,1,2,0,0,yes
20,27189,1,1,0,0,0,0,no
33,50976,8,4,0,1,0,1,no
33,65758,18,10,2,3,1,1,yes
39,66671,11,9,1,2,1,0,yes
39,58116,6,4,0,1,0,1,no
41,76479,20,9,1,2,2,0,yes
41,66464,14,5,0,3,0,1,no
29,56127,14,9,1,1,1,1,yes
29,41765,5,3,0,1,0,0,no
30,56349,14,11,3,4,1,2,yes
30,43501,3,3,0,0,0,0,no
39,71944,18,7,1,2,1,1,no
39,78044,28,10,1,2,2,0,yes
24,34161,3,2,0,0,0,0,no
24,42803,16,9,1,1,0,1,yes
44,76529,18,8,1,3,0,1,yes
44,75644,10,6,2,2,2,1,no
32,57114,12,11,3,3,1,2,yes
32,48576,4,4,0,0,0,0,no
43,70423,8,6,1,1,1,0,no
43,75771,12,9,2,4,0,1,yes
30,56068,15,9,1,2,1,1,yes
30,45687,6,3,0,1,0,1,no
32,45934,6,4,0,1,0,0,no
32,59508,11,11,3,2,1,1,yes
27,55342,15,10,2,0,1,1,yes
27,40465,7,2,0,1,0,0,no
34,60304,15,11,4,2,1,0,yes
34,50421,2,3,0,2,0,1,no
29,43767,5,2,0,1,0,0,no
29,54776,21,11,2,1,0,2,yes
30,62526,28,11,3,2,1,1,yes
30,47083,16,1,0,0,0,0,no
33,62450,18,9,1,4,1,1,yes
33,47980,2,1,0,0,0,1,no
46,73398,7,3,0,2,0,0,no
46,82235,16,9,1,4,1,2,yes
28,49603,8,10,2,2,1,0,yes
28,40216,2,4,0,1,0,1,no
33,55353,13,5,0,0,0,1,no
33,64011,14,10,2,2,1,0,yes
47,82544,20,9,2,3,1,1,no
47,88974,26,7,1,1,1,1,yes
26,51743,14,11,3,3,1,2,yes
26,37925,4,3,0,0,0,1,no
58,100106,13,6,1,2,0,0,no
58,102207,17,8,1,4,2,1,yes
31,48600,8,3,0,0,0,1,no
31,60354,19,10,1,3,1,1,yes
37,66241,13,10,2,1,2,1,yes
37,59111,8,5,0,2,0,0,no
39,60517,14,3,0,1,1,0,no
39,73567,20,8,2,3,1,2,yes
33,51311,3,2,0,1,0,0,no
33,63894,12,11,3,3,1,1,yes
28,38911,4,0,0,2,0,0,no
28,58187,16,10,1,1,1,2,yes
28,41003,4,1,0,0,0,0,no
28,54835,18,9,1,3,1,2,yes
31,43920,2,2,0,0,0,0,no
31,57753,11,11,2,3,1,1,yes
43,75230,11,4,0,2,1,0,no
43,76604,10,8,3,3,1,1,yes
30,49204,7,10,3,4,1,0,yes
30,48673,2,5,0,0,0,2,no
29,55976,24,9,2,3,1,0,yes
29,41854,4,2,0,0,0,0,no
40,71837,15,10,2,4,2,3,yes
40,58735,8,3,0,1,0,0,no
41,72615,23,5,0,3,2,0,no
41,77105,22,11,3,2,0,0,yes
30,59994,24,10,2,3,1,2,yes
30,46792,4,2,0,0,0,0,no
46,84734,13,9,1,2,1,2,yes
46,80677,17,7,2,3,1,0,no
26,51120,16,11,3,1,1,1,yes
26,39234,4,4,0,0,0,1,no
57,94841,14,8,1,4,0,2,no
57,99048,10,9,3,2,3,0,yes
38,73707,20,9,1,2,2,1,yes
38,60237,10,3,0,3,0,1,no
38,57785,4,3,0,0,0,1,no
38,71084,11,10,2,3,2,0,yes
30,55598,11,10,1,1,1,0,yes
30,47442,9,3,0,2,0,2,no
68,122857,8,8,1,2,0,0,yes
68,126561,16,10,5,7,4,1,no
30,59391,19,9,1,2,1,0,yes
30,46543,11,1,0,0,0,1,no
35,68207,20,11,2,2,2,0,yes
35,54183,10,2,0,0,0,0,no
30,45474,3,4,0,1,0,0,no
30,54761,13,8,1,2,1,2,yes
49,90233,20,9,3,2,1,1,no
49,93477,16,10,2,3,1,1,yes
41,67854,9,4,0,1,1,1,no
41,70053,14,9,1,5,0,0,yes
38,63119,15,4,0,1,0,0,no
38,72993,23,10,2,4,1,2,yes
25,50035,13,11,3,2,1,2,yes
25,33360,3,0,0,0,0,0,no
29,56268,20,8,1,1,1,1,yes
29,45436,6,3,0,1,0,1,no
35,61350,9,4,0,0,0,2,no
35,68660,15,10,2,3,2,0,yes
34,62615,15,9,1,3,1,2,yes
34,47775,0,2,0,0,0,0,no
44,74567,9,8,1,3,0,2,yes
44,72221,12,3,0,2,1,1,no
34,65842,23,11,4,4,1,2,yes
34,49531,2,3,0,0,1,0,no
30,46786,12,0,0,0,0,1,no
30,61707,21,11,3,1,1,1,yes
26,48574,7,9,1,2,1,2,yes
26,38132,1,3,0,0,0,0,no
45,78953,17,8,3,3,0,1,no
45,77186,17,7,2,3,2,2,yes
39,63517,8,3,0,1,0,1,no
39,77346,15,11,3,4,2,0,yes
33,61878,15,10,2,3,1,0,yes
33,49814,4,2,0,0,0,0,no
39,66561,16,4,0,3,0,0,no
39,72702,19,9,1,1,2,0,yes
32,60009,5,9,1,3,1,1,yes
32,44970,1,0,0,0,0,0,no
65,113019,18,11,3,2,3,1,yes
65,107569,15,6,0,4,1,0,no
43,80052,10,11,3,3,1,0,yes
43,66773,7,3,0,1,0,0,no
42,70095,17,3,0,4,0,0,no
42,78399,19,8,1,0,1,0,yes
44,70649,14,3,0,2,0,0,no
44,83494,35,9,1,2,1,0,yes
44,72288,9,3,0,1,0,1,no
44,82191,17,10,2,4,2,0,yes
51,94393,14,11,5,2,2,0,yes
51,85308,13,4,0,2,0,0,no
35,53704,8,4,0,0,0,0,no
35,66427,16,11,3,4,1,1,yes
57,102318,25,11,4,3,1,1,yes
57,96595,19,6,2,4,3,0,no
32,59637,15,11,3,2,0,1,yes
32,51244,7,3,0,1,1,0,no
41,72380,16,10,2,2,1,1,yes
41,64614,8,4,0,3,0,0,no
30,48499,7,8,1,2,0,0,yes
30,44735,3,2,0,1,0,1,no
34,61429,16,9,2,3,1,0,yes
34,51103,3,2,0,1,0,1,no
